x,date,trainer,
1/14/2020,2020-01-14,118,sarah
1/16/2020,2020-01-16,118,
1/21/2020,2020-01-21,42,chris
1/23/2020,2020-01-23,42,
1/24/2020,2020-01-24,61,Paul
1/25/2020,2020-01-25,42,
2/1/2020,2020-02-01,61,
2/2/2020,2020-02-02,118,
2/7/2020,2020-02-07,61,
2/8/2020,2020-02-08,42,
2/9/2020,2020-02-09,118,
2/10/2020,2020-02-10,42,
2/11/2020,2020-02-11,42,
2/21/2020,2020-02-21,61,
2/23/2020,2020-02-23,118,
2/28/2020,2020-02-28,131,Eric
3/1/2020,2020-03-01,131,
3/6/2020,2020-03-06,61,
3/8/2020,2020-03-08,131,
3/13/2020,2020-03-13,131,
3/15/2020,2020-03-15,131,
3/20/2020,2020-03-20,61,
3/22/2020,2020-03-22,131,
