id,shortname,description,starttime,endtime,speedcontrol
36,BG,Baldy Gate,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,""
1,C1weekend,Chickadee,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,Chickadee AM 
2,C2weekend,Cliff Back Door,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,Chickadee AM 
3,C3weekend,Plaza Deck,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,Chickadee PM 
4,C4weekend,Plaza Deck,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"Chickadee PM
 "
5,G1Friday,Creekside,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"Big Emma 1:30 2:30 3:30
 "
6,G1weekend,Creekside,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"Big Emma 1:30 2:30 3:30
 "
7,G2Friday,Hidden Peak,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"Big Emma 1:00 2:00 3:00
 "
8,G2weekend,Hidden Peak,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"Big Emma 1:30 2:30 3:30
 "
9,G3Friday,Chickadee,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"Big Emma 10:30 11:30 12:30
 "
10,G3weekend,Creekside,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"Big Emma 1:00 2:00 3:00
 "
11,G4Friday,Creekside Late,2012-10-25 08:45:00 -0600,2012-10-25 17:00:00 -0600,Big Emma 10:00 11:00 12:00 
12,G4weekend,Portico,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"Big Emma 1:00 2:00 3:00
 "
13,G5weekend,Plaza Inside Hall,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"Big Emma 10:30 11:30 12:30
 "
14,G6weekend,Paza 2nd Floor,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"Big Emma 10:30 11:30 12:30
 "
15,G7weekend,Creekside Late,2012-10-25 08:45:00 -0600,2012-10-25 17:00:00 -0600,Big Emma 10:00 11:00 12:00 
16,G8weekend,Creekside Late,2012-10-25 08:45:00 -0600,2012-10-25 17:00:00 -0600,Big Emma 10:00 11:00 12:00 
38,M1,Rookie Training Meeting,2012-10-25 08:00:00 -0600,2012-10-25 17:00:00 -0600,""
39,M2,All Host Training,2012-10-25 08:00:00 -0600,2012-10-25 17:00:00 -0600,""
40,M3,On Mountain Training,2012-10-25 08:00:00 -0600,2012-10-25 17:00:00 -0600,""
41,M4,Mid-Year Meeting,2012-10-25 08:00:00 -0600,2012-10-25 17:00:00 -0600,""
17,P1Friday,Portico,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"10:30 Tour *SC EOB 3:00-4:00
 "
18,P1weekday,Portico,2013-01-31 08:00:00 -0700,2013-01-31 16:00:00 -0700,10:30 Tour 
19,P1weekend,Portico,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"10:30 Tour *SC EOB 3:00-4:00
 "
20,P2Friday,Peruvian Express,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"10:30 Tour *SC EOB 3:00-4:00
 "
21,P2weekday,Team Lead,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"10:30 Tour
 "
22,P2weekend,Peruvian Express,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"10:30 Tour *SC EOB 3:00-4:00
 "
23,P3Friday,Plaza Deck,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"9:30 Tour **  **
 "
24,P3weekday,Portico Late,2012-10-25 08:45:00 -0600,2012-10-25 17:00:00 -0600,9:30 Tour **  ** 
25,P3weekend,Portico Late,2012-10-25 08:45:00 -0600,2012-10-25 17:00:00 -0600,09:30 Tour 
26,P4Friday,Portico Late,2012-10-25 08:45:00 -0600,2012-10-25 17:00:00 -0600,9:30 Tour **  ** 
27,P4weekday,Creekside Late,2012-10-25 08:45:00 -0600,2012-10-25 17:00:00 -0600,9:30 Tour **  ** 
28,P4weekend,Portico Late,2012-10-25 08:45:00 -0600,2012-10-25 17:00:00 -0600,09:30 Tour 
43,Race,Race,2013-03-23 08:00:00 -0600,2013-03-23 16:00:00 -0600,""
42,SE,Special Event,2013-02-16 08:00:00 -0700,2013-02-16 16:00:00 -0700,""
29,SH,Shadow,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"TBD
 "
32,ST,Special Tour,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"Special Tour as arranged
 "
30,TL,Team Leader,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"Roam Roam Roam
 "
31,Trainer,Trainer Shift,2012-10-25 08:00:00 -0600,2012-10-25 16:00:00 -0600,"On Mountain Training
"
